q[nm-1] (time=2017-08-25T18:55:43.953921+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:44.837510+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:46.160563+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:47.041561+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:48.372136+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:49.356821+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:50.569218+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:51.561031+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:52.773996+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:53.675349+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7)/10-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
8.6102200000e-01 2.8865630000e-03 4.6891214147e-05 
8.6474200000e-01 2.9123890000e-03 4.6844809193e-05 
8.6846100000e-01 2.8891100000e-03 4.6690621274e-05 
8.7218000000e-01 2.8976500000e-03 4.6637067056e-05 
8.7589900000e-01 2.8931240000e-03 4.6501920521e-05 
8.7961900000e-01 2.8947320000e-03 4.6452631141e-05 
8.8333800000e-01 2.9096170000e-03 4.6377388920e-05 
8.8705700000e-01 2.9364030000e-03 4.6353763338e-05 
8.9077700000e-01 2.9346140000e-03 4.6172699815e-05 
8.9449600000e-01 2.9923350000e-03 4.6010992523e-05 
8.9821500000e-01 3.0486740000e-03 4.6141663482e-05 
9.0193500000e-01 3.0397220000e-03 4.6057610125e-05 
9.0565400000e-01 3.0646330000e-03 4.6029006258e-05 
9.0937300000e-01 3.1150790000e-03 4.6025764136e-05 
9.1309300000e-01 3.2030120000e-03 4.6036057904e-05 
9.1681200000e-01 3.1443340000e-03 4.5840709221e-05 
9.2053100000e-01 3.1605800000e-03 4.5790587844e-05 
9.2425100000e-01 3.2169800000e-03 4.5635600216e-05 
9.2797000000e-01 3.2048110000e-03 4.5527581508e-05 
9.3168900000e-01 3.1998740000e-03 4.5487027690e-05 
9.3540900000e-01 3.1875180000e-03 4.5495090964e-05 
9.3912800000e-01 3.1841480000e-03 4.5384465119e-05 
9.4284700000e-01 3.2690470000e-03 4.5131518655e-05 
9.4656700000e-01 3.2829490000e-03 4.5098010030e-05 
9.5028600000e-01 3.2833320000e-03 4.4948243964e-05 
9.5400500000e-01 3.3192740000e-03 4.4863623628e-05 
9.5772400000e-01 3.3257870000e-03 4.4853030443e-05 
9.6144400000e-01 3.3213650000e-03 4.4784149940e-05 
9.6516300000e-01 3.3168330000e-03 4.4646667072e-05 
9.6888200000e-01 3.3089090000e-03 4.4541047283e-05 
9.7260200000e-01 3.3684270000e-03 4.4568995256e-05 
9.7632100000e-01 3.4215270000e-03 4.4521798292e-05 
9.8004000000e-01 3.4550950000e-03 4.4431008495e-05 
9.8376000000e-01 3.3712640000e-03 4.4287808344e-05 
9.8747900000e-01 3.4054730000e-03 4.4226256198e-05 
9.9119800000e-01 3.4540610000e-03 4.4234709870e-05 
9.9491800000e-01 3.5719880000e-03 4.4176480784e-05 
9.9863700000e-01 3.5069080000e-03 4.4022271801e-05 
1.0023600000e+00 3.4940750000e-03 4.3965530074e-05 
1.0060800000e+00 3.5345060000e-03 4.3907418490e-05 
1.0097900000e+00 3.4985820000e-03 4.3839286156e-05 
1.0135100000e+00 3.5307700000e-03 4.3750428204e-05 
1.0172300000e+00 3.5656370000e-03 4.3685391196e-05 
1.0209500000e+00 3.5939010000e-03 4.3638393856e-05 
1.0246700000e+00 3.5791240000e-03 4.3555256994e-05 
1.0283900000e+00 3.5698620000e-03 4.3456744077e-05 
1.0321100000e+00 3.6294500000e-03 4.3457988077e-05 
1.0358300000e+00 3.6771180000e-03 4.3399578851e-05 
1.0395500000e+00 3.7185140000e-03 4.3492065237e-05 
1.0432700000e+00 3.7171160000e-03 4.3509760229e-05 
1.0469900000e+00 3.6848520000e-03 4.3389470878e-05 
1.0507100000e+00 3.6898300000e-03 4.3298681580e-05 
1.0544300000e+00 3.7203120000e-03 4.3204651168e-05 
1.0581500000e+00 3.8074890000e-03 4.3114150007e-05 
